Id,Item,Calories,Total Fat,Carbohydrates (G),Protein
1,Chick-fil-A® Chicken Biscuit,460,23,45,19
2,Chick-fil-A Chick-n-Minis™,360,13,41,19
3,Egg White Grill,290,8,30,26
4,Hash Brown Scramble Burrito,700,40,51,34
5,Hash Brown Scramble Bowl,470,30,19,29
6,"Bacon, Egg & Cheese Biscuit",420,23,38,15
7,"Sausage, Egg & Cheese Biscuit",610,42,38,22
8,"Bacon, Egg & Cheese Muffin",310,14,29,16
9,"Sausage, Egg & Cheese Muffin",500,33,30,23
10,Buttered Biscuit,290,15,37,4
11,English Muffin,140,2,29,5
12,Hash Browns,270,18,23,3
13,Greek Yogurt Parfait,270,9,36,13
14,Fruit Cup,60,0,15,1
15,4 Chick-fil-A Chick-n-Minis™,360,13,41,19
16,10 ct Chick-fil-A Chick-n-Minis™,870,35,92,48
17,10 ct Heart-Shaped Tray,870,35,92,48
18,Hash Brown Scramble Burrito w/ Nuggets,700,40,51,34
19,Hash Brown Scramble Burrito w/ Sausage,720,47,46,28
20,Hash Brown Scramble Burrito w/ Grilled Filet,650,36,46,35
21,Hash Brown Scramble Burrito w/ Nuggets - no hash browns,550,30,38,33
22,Hash Brown Scramble Burrito w/ Sausage - no hash browns,440,38,1,26
23,Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,500,25,34,34
24,Hash Brown Scramble Bowl w/ Nuggets,470,30,19,29
25,Hash Brown Scramble Bowl w/ Sausage,480,37,15,23
26,Hash Brown Scramble Bowl w/ Grilled Filet,410,26,15,30
27,Hash Brown Scramble Bowl w/ Nuggets - no hash browns,320,20,7,28
28,Hash Brown Scramble Bowl w/ Sausage - no hash browns,320,26,1,21
29,Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,260,16,1,28
30,Greek Yogurt Parfait w/ Cookie Crumbs,240,8,33,12
31,Greek Yogurt Parfait w/ Granola,270,9,36,13
32,Small Fruit Cup,50,0,13,1
33,Medium Fruit Cup,60,0,15,1
34,Chick-fil-A® Chicken Sandwich,440,17,41,29
35,Chick-fil-A® Deluxe Sandwich,500,22,44,32
36,Spicy Chicken Sandwich,460,19,45,28
37,Spicy Deluxe Sandwich,550,25,47,33
38,Grilled Chicken Sandwich,380,11,44,28
39,Chick-fil-A® Grilled Chicken Club Sandwich,520,22,44,37
40,Chick-fil-A® Nuggets,250,11,11,27
41,Grilled Nuggets,130,3,1,25
42,Chick-fil-A Chick-n-Strips®,310,14,16,29
43,Chick-fil-A® Cool Wrap,660,45,32,43
44,Chick-fil-A® Deluxe Sandwich w/ American,500,22,44,32
45,Chick-fil-A® Deluxe Sandwich w/ Colby Jack,530,24,44,35
46,Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,520,24,44,34
47,Chick-fil-A® Deluxe Sandwich w/ No Cheese,450,17,43,30
48,Spicy Deluxe Sandwich w/ Pepper Jack,550,25,47,33
49,Spicy Deluxe Sandwich w/ American,520,23,47,31
50,Spicy Deluxe Sandwich w/ Colby Jack,550,25,47,34
51,Spicy Deluxe Sandwich w/ No Cheese,470,19,47,29
52,Grilled Chicken Club w/ Colby Jack,520,22,44,37
53,Grilled Chicken Club w/ American,490,19,45,35
54,Grilled Chicken Club w/ Pepper Jack,510,21,44,37
55,Grilled Chicken Club w/ No Cheese,430,15,44,32
56,5 ct Chick-fil-A® Nuggets,160,7,7,17
57,8 ct Chick-fil-A® Nuggets,250,11,11,27
58,12 ct Chick-fil-A® Nuggets,380,17,16,40
59,30 ct Chick-fil-A® Nuggets,950,43,41,100
60,30 ct Heart-Shaped Tray,950,43,41,100
61,5 ct Grilled Nuggets,80,2,1,16
62,8 ct Grilled Nuggets,130,3,1,25
63,12 ct Grilled Nuggets,200,4.5,2,38
64,2 ct Chick-fil-A Chick-n-Strips®,200,9,11,19
65,3 ct Chick-fil-A Chick-n-Strips®,310,14,16,29
66,4 ct Chick-fil-A Chick-n-Strips®,410,19,22,39
67,Cobb Salad,850,61,34,42
68,Spicy Southwest Salad,690,49,29,33
69,Market Salad,540,31,41,28
70,Cobb Salad w/ Nuggets,850,61,34,42
71,Cobb Salad w/ Spicy Grilled Filet (Cold),710,51,25,36
72,Cobb Salad w/ Grilled Nuggets,730,52,24,41
73,Cobb Salad w/ Chick-fil-A Chick-n-Strips®,910,63,40,45
74,Cobb Salad w/ Grilled Filet (Cold),700,51,25,37
75,Cobb Salad w/ Chick-fil-A® Filet,850,61,36,40
76,Cobb Salad w/ Spicy Filet,870,62,40,39
77,Cobb Salad w/ Grilled Filet (Warm),700,51,25,37
78,Cobb Salad w/ No Chicken,600,49,23,16
79,Spicy Southwest Salad w/ Spicy Grilled Filet (Cold),690,49,29,33
80,Spicy Southwest Salad w/ Grilled Filet (Cold),690,49,29,35
81,Spicy Southwest Salad w/ Nuggets,840,58,38,41
82,Spicy Southwest Salad w/ Grilled Nuggets,720,50,29,39
83,Spicy Southwest Salad w/ Chick-fil-A Chick-n-Strips®,890,61,44,43
